id,timestamp,scan,ticker,bias,conviction,entry,stop,target,rr,horizon,alerted,status,position,resolved_at,outcome,bars_open,strategy,reason
2026-01-02T09:00-HPQ,2026-01-02T09:00:00,premarket,HPQ,short,10,22.280000686645508,23.548999832738446,20.376501967506105,1.4999999999999971,swing,True,open,lower,,,12,v1_technical,"RANK-PROXY CONVICTION 10/10 = rank 1 of 30 by score_survivor (50.7) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 0.63; target at MIN_RR 1.5"
2026-01-02T09:00-COIN,2026-01-02T09:00:00,premarket,COIN,short,10,226.13999938964844,249.67650924861528,190.83523460119818,1.5,swing,True,open,upper,,,12,v1_technical,"RANK-PROXY CONVICTION 10/10 = rank 2 of 30 by score_survivor (49.3) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 11.77; target at MIN_RR 1.5"
2026-01-02T09:00-BF-B,2026-01-02T09:00:00,premarket,BF-B,short,9,26.059999465942383,27.676412822947274,23.635379430435044,1.500000000000001,swing,True,open,upper,,,12,v1_technical,"RANK-PROXY CONVICTION 9/10 = rank 3 of 30 by score_survivor (48.7) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 0.81; target at MIN_RR 1.5"
2026-01-02T09:00-NTAP,2026-01-02T09:00:00,premarket,NTAP,short,9,107.08999633789062,112.16724046803881,99.47413014266834,1.5,swing,True,open,lower,,,12,v1_technical,"RANK-PROXY CONVICTION 9/10 = rank 4 of 30 by score_survivor (48.5) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 2.54; target at MIN_RR 1.5"
2026-01-02T09:00-CDW,2026-01-02T09:00:00,premarket,CDW,short,9,136.1999969482422,142.9423567860576,126.08645719151907,1.500000000000002,swing,True,open,lower,,,12,v1_technical,"RANK-PROXY CONVICTION 9/10 = rank 5 of 30 by score_survivor (47.9) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 3.37; target at MIN_RR 1.5"
2026-01-02T09:00-FAST,2026-01-02T09:00:00,premarket,FAST,short,8,40.130001068115234,41.47056847568393,38.119149956762186,1.5,swing,True,open,upper,,,12,v1_technical,"RANK-PROXY CONVICTION 8/10 = rank 6 of 30 by score_survivor (47.3) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 0.67; target at MIN_RR 1.5"
2026-01-02T09:00-IBM,2026-01-02T09:00:00,premarket,IBM,short,8,296.2099914550781,308.5361457974065,277.7207599415855,1.5000000000000022,swing,True,open,lower,,,12,v1_technical,"RANK-PROXY CONVICTION 8/10 = rank 7 of 30 by score_survivor (47.2) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 6.16; target at MIN_RR 1.5"
2026-01-02T09:00-NSC,2026-01-02T09:00:00,premarket,NSC,short,8,288.7200012207031,295.61503053502116,278.3774572492261,1.4999999999999958,swing,True,open,upper,,,12,v1_technical,"RANK-PROXY CONVICTION 8/10 = rank 8 of 30 by score_survivor (47.2) at 2026-01-02 09:00:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 3.45; target at MIN_RR 1.5"
2026-01-02T15:30-HPQ,2026-01-02T15:30:00,preclose,HPQ,short,10,22.280000686645508,23.548999832738446,20.376501967506105,1.4999999999999971,swing,True,open,,,,0,v1_technical,"RANK-PROXY CONVICTION 10/10 = rank 1 of 30 by score_survivor (50.7) at 2026-01-02 15:30:00, NOT analyst.py conviction. alignment 3 (30m=bearish, 4h=bearish, daily=bearish); stop = 2x daily atr14 0.63; target at MIN_RR 1.5"
2026-01-02T15:30-BA,2026-01-02T15:30:00,preclose,BA,long,10,217.1199951171875,208.2712533437882,230.39310777728647,1.500000000000003,swing,True,open,,,,0,v1_technical,"RANK-PROXY CONVICTION 10/10 = rank 2 of 30 by score_survivor (48.9) at 2026-01-02 15:30:00, NOT analyst.py conviction. alignment 3 (30m=bullish, 4h=bullish, daily=bullish); stop = 2x daily atr14 4.42; target at MIN_RR 1.5"
